,Formula,composition,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System
mp-553945,SiO2,"{'Si': 1.0, 'O': 2.0}",Pmn21,-3.278,0.011,5.601,TRUE,1869.181,96,FALSE,,1.708,orthorhombic
mp-23170,IO2,"{'I': 1.0, 'O': 2.0}",P21/c,-0.713,0.011,1.443,TRUE,425.574,24,FALSE,,4.96,monoclinic
mp-555251,SiO2,"{'Si': 1.0, 'O': 2.0}",Ima2,-3.278,0.011,5.636,TRUE,215.8,12,TRUE,,1.849,orthorhombic
mp-560920,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmcm,-3.278,0.011,5.611,TRUE,1955.293,96,FALSE,,1.633,orthorhombic
mp-639724,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmcm,-3.278,0.011,5.671,FALSE,1997.448,96,TRUE,,1.598,orthorhombic
mp-882,Ti6O,"{'Ti': 6.0, 'O': 1.0}",P31m,-0.908,0.011,0,TRUE,215.091,14,FALSE,,4.682,trigonal
mp-600018,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmme,-3.278,0.011,5.448,TRUE,1289.138,72,TRUE,,1.857,orthorhombic
mp-1250551,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmce,-3.278,0.011,5.689,FALSE,6193.296,336,TRUE,,1.804,orthorhombic
mp-7087,SiO2,"{'Si': 1.0, 'O': 2.0}",P63/mmc,-3.278,0.011,5.365,TRUE,207.626,12,FALSE,,1.922,hexagonal
mp-669426,SiO2,"{'Si': 1.0, 'O': 2.0}",P21/c,-3.278,0.011,5.618,TRUE,339.862,24,FALSE,,2.349,monoclinic
mp-8377,TeO2,"{'Te': 1.0, 'O': 2.0}",P212121,-1.502,0.011,2.894,TRUE,200.972,12,FALSE,,5.275,orthorhombic
mp-15078,SiO2,"{'Si': 1.0, 'O': 2.0}",Immm,-3.278,0.012,5.635,TRUE,2078.52,108,FALSE,,1.728,orthorhombic
mp-558025,SiO2,"{'Si': 1.0, 'O': 2.0}",Pnnm,-3.278,0.012,5.671,TRUE,2030.321,108,FALSE,,1.769,orthorhombic
mp-600004,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmcm,-3.278,0.012,5.43,TRUE,653.513,36,TRUE,,1.832,orthorhombic
mp-600027,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmcm,-3.278,0.012,5.523,TRUE,1525.365,72,TRUE,,1.57,orthorhombic
mp-556469,SiO2,"{'Si': 1.0, 'O': 2.0}",P1,-3.278,0.012,5.696,TRUE,948.409,48,FALSE,,1.683,triclinic
mp-639511,SiO2,"{'Si': 1.0, 'O': 2.0}",I4/mmm,-3.278,0.012,5.651,TRUE,2000.619,96,TRUE,,1.596,tetragonal
mp-755671,MnO2,"{'Mn': 1.0, 'O': 2.0}",R3m,-1.802,0.012,1.597,TRUE,75.426,6,TRUE,,3.828,trigonal
mp-18937,V2O3,"{'V': 2.0, 'O': 3.0}",R3c,-2.526,0.012,0.489,TRUE,107.194,10,FALSE,,4.644,trigonal
mp-558891,SiO2,"{'Si': 1.0, 'O': 2.0}",Ia3d,-3.277,0.012,5.65,TRUE,535.15,36,TRUE,,2.237,cubic
mp-17909,SiO2,"{'Si': 1.0, 'O': 2.0}",R3m,-3.277,0.012,5.731,TRUE,811.026,36,FALSE,,1.476,trigonal
mp-1249332,SiO2,"{'Si': 1.0, 'O': 2.0}",P63/mmc,-3.277,0.012,5.666,FALSE,2290.82,108,TRUE,,1.568,hexagonal
mp-555487,SnO2,"{'Sn': 1.0, 'O': 2.0}",Pbcn,-2.118,0.012,0.838,TRUE,450.694,36,FALSE,,6.663,orthorhombic
mp-600052,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmcm,-3.277,0.012,5.5,TRUE,2132.928,120,TRUE,,1.871,orthorhombic
mp-6930,SiO2,"{'Si': 1.0, 'O': 2.0}",P3221,-3.277,0.012,5.709,FALSE,117.925,9,FALSE,,2.538,trigonal
mp-7599,BeO,"{'Be': 1.0, 'O': 1.0}",P42/mnm,-3.113,0.012,7.084,TRUE,58.198,8,FALSE,,2.855,tetragonal
mp-560826,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmcm,-3.277,0.012,5.424,FALSE,666.94,36,FALSE,,1.795,orthorhombic
mp-760075,Ti19O30,"{'Ti': 19.0, 'O': 30.0}",P1,-3.35,0.012,0,TRUE,526.918,49,TRUE,,4.379,triclinic
mp-600063,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmcm,-3.277,0.012,5.697,TRUE,2883.846,144,TRUE,,1.661,orthorhombic
mp-542334,V5O9,"{'V': 5.0, 'O': 9.0}",P1,-2.497,0.012,0.506,TRUE,601.01,56,FALSE,,4.406,triclinic
mvc-12823,MnO2,"{'Mn': 1.0, 'O': 2.0}",R3m,-1.802,0.012,1.926,FALSE,51.62,3,TRUE,,2.797,trigonal
mp-8352,SiO2,"{'Si': 1.0, 'O': 2.0}",Fd3m,-3.277,0.012,5.365,TRUE,103.827,6,FALSE,,1.922,cubic
mp-556566,V8O15,"{'V': 8.0, 'O': 15.0}",P1,-2.49,0.012,0.652,TRUE,486.386,46,FALSE,,4.421,triclinic
