,Formula,composition,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System
mp-505619,Ce11O20,"{'Ce': 11.0, 'O': 20.0}",P1,-3.96,0,0.001,FALSE,461.797,31,FALSE,,6.693,triclinic
mp-11107,Ac2O3,"{'Ac': 2.0, 'O': 3.0}",P3m1,-3.756,0,3.523,TRUE,92.882,5,FALSE,,8.975,trigonal
mp-353,Ag2O,"{'Ag': 2.0, 'O': 1.0}",Pn3m,-0.334,0,0,TRUE,113.439,6,FALSE,,6.784,cubic
mp-33137,TcO2,"{'Tc': 1.0, 'O': 2.0}",P21/c,-1.904,0,0,TRUE,131.026,12,FALSE,,6.59,monoclinic
mp-1705,Sb2O5,"{'Sb': 2.0, 'O': 5.0}",C2/c,-1.771,0,0.814,FALSE,168.781,14,FALSE,,6.366,monoclinic
mp-907,W18O49,"{'W': 18.0, 'O': 49.0}",P2/m,-2.156,0,0,FALSE,943.284,67,FALSE,,7.205,monoclinic
mp-726,SeO2,"{'Se': 1.0, 'O': 2.0}",P42/mbc,-1.172,0,3.279,TRUE,394.989,24,FALSE,,3.732,tetragonal
mp-2125,TeO2,"{'Te': 1.0, 'O': 2.0}",Pbca,-1.514,0,2.228,TRUE,395.352,24,FALSE,,5.363,orthorhombic
mp-841,Li2O2,"{'Li': 2.0, 'O': 2.0}",P63/mmc,-1.654,0,1.975,TRUE,67.441,8,FALSE,,2.259,hexagonal
mp-637224,Pu2O3,"{'Pu': 2.0, 'O': 3.0}",Ia3,-3.456,0,0,TRUE,647.561,40,FALSE,,10.996,cubic
mp-19372,WO2,"{'W': 1.0, 'O': 2.0}",P42/mnm,-2.033,0,1.248,TRUE,149.314,12,FALSE,,9.601,tetragonal
mp-2542,BeO,"{'Be': 1.0, 'O': 1.0}",P63mc,-3.125,0,7.46,TRUE,28.01,4,FALSE,,2.966,hexagonal
mp-1105,BaO2,"{'Ba': 1.0, 'O': 2.0}",I4/mmm,-2.173,0,2.238,TRUE,52.147,3,FALSE,,5.392,tetragonal
mp-1235059,LiO8,"{'Li': 1.0, 'O': 8.0}",Cm,-0.423,0,0,FALSE,102.063,9,TRUE,,2.195,monoclinic
mp-16705,Pr2O3,"{'Pr': 2.0, 'O': 3.0}",Ia3,-3.755,0,3.659,TRUE,719.481,40,FALSE,,6.09,cubic
mp-7988,Cs2O,"{'Cs': 2.0, 'O': 1.0}",R3m,-1.199,0,0.591,TRUE,115.603,3,FALSE,,4.048,trigonal
mp-21394,EuO,"{'Eu': 1.0, 'O': 1.0}",Fm3m,-3.14,0,0,TRUE,32.835,2,FALSE,,8.494,cubic
mp-23207,ClO2,"{'Cl': 1.0, 'O': 2.0}",Pbca,-0.567,0,0.964,TRUE,439.204,24,FALSE,,2.04,orthorhombic
mp-554791,RuO4,"{'Ru': 1.0, 'O': 4.0}",P43n,-1.209,0,2.425,TRUE,750.749,40,FALSE,,2.921,cubic
mp-1215377,Zr4O,"{'Zr': 4.0, 'O': 1.0}",R3,-1.248,0,0,FALSE,289.918,15,TRUE,,6.545,trigonal
mp-1147,Ti3O5,"{'Ti': 3.0, 'O': 5.0}",C2/m,-3.403,0,0,FALSE,177.368,16,FALSE,,4.187,monoclinic
mp-21579,V2O3,"{'V': 2.0, 'O': 3.0}",Ia3,-2.538,0,0,TRUE,438.791,40,FALSE,,4.538,cubic
mp-19395,MnO2,"{'Mn': 1.0, 'O': 2.0}",I4/m,-1.814,0,1.073,TRUE,142.537,12,FALSE,,4.051,tetragonal
mp-1018886,PdO2,"{'Pd': 1.0, 'O': 2.0}",P42/mnm,-0.746,0,0,TRUE,67.77,6,FALSE,,6.783,tetragonal
mp-2345,Dy2O3,"{'Dy': 2.0, 'O': 3.0}",Ia3,-4.031,0,3.925,TRUE,608.405,40,FALSE,,8.144,cubic
mp-375,UO3,"{'U': 1.0, 'O': 3.0}",Pm3m,-3.635,0,1.638,TRUE,72.241,4,FALSE,,6.575,cubic
mp-1182716,Eu3O4,"{'Eu': 3.0, 'O': 4.0}",Pnma,-3.235,0,0,FALSE,434.609,28,FALSE,,7.945,orthorhombic
mp-216,Sc2O3,"{'Sc': 2.0, 'O': 3.0}",Ia3,-3.989,0,3.824,TRUE,487.225,40,FALSE,,3.76,cubic
mp-19006,MnO,"{'Mn': 1.0, 'O': 1.0}",Fm3m,-2.004,0,1.955,FALSE,45.387,4,FALSE,,5.191,cubic
mp-1581,As2O3,"{'As': 2.0, 'O': 3.0}",P21/c,-1.649,0,3.619,TRUE,378.968,20,FALSE,,3.468,monoclinic
mp-886,Ga2O3,"{'Ga': 2.0, 'O': 3.0}",C2/m,-2.288,0,2.008,TRUE,109.593,10,FALSE,,5.68,monoclinic
mp-361,Cu2O,"{'Cu': 2.0, 'O': 1.0}",Pn3m,-0.651,0,0.5,TRUE,79.014,6,FALSE,,6.014,cubic
mp-504886,Gd2O3,"{'Gd': 2.0, 'O': 3.0}",Ia3,-3.913,0,2.886,FALSE,641.464,40,FALSE,,7.507,cubic
mp-2697,SrO2,"{'Sr': 1.0, 'O': 2.0}",I4/mmm,-2.211,0,2.859,TRUE,43.565,3,FALSE,,4.559,tetragonal
mp-27684,Tl4O3,"{'Tl': 4.0, 'O': 3.0}",P21/m,-0.949,0,0.97,TRUE,302.309,14,FALSE,,9.508,monoclinic
mp-19306,Fe3O4,"{'Fe': 3.0, 'O': 4.0}",Fd3m,-1.844,0,0,TRUE,155.341,14,FALSE,,4.95,cubic
mp-2136,Sb2O3,"{'Sb': 2.0, 'O': 3.0}",Pccn,-1.771,0,2.224,TRUE,361.532,20,FALSE,,5.356,orthorhombic
mp-1767,Tm2O3,"{'Tm': 2.0, 'O': 3.0}",Ia3,-4.112,0,3.98,TRUE,574.741,40,FALSE,,8.919,cubic
mp-458,Ti2O3,"{'Ti': 2.0, 'O': 3.0}",R3c,-3.323,0,0,TRUE,105.781,10,FALSE,,4.513,trigonal
mp-31049,NdO2,"{'Nd': 1.0, 'O': 2.0}",C2/m,-3.17,0,3.405,TRUE,88.876,6,FALSE,,6.586,monoclinic
mp-554278,TiO2,"{'Ti': 1.0, 'O': 2.0}",C2/m,-3.523,0,2.679,TRUE,146.706,12,FALSE,,3.616,monoclinic
mp-1201852,Nb2O5,"{'Nb': 2.0, 'O': 5.0}",C2/m,-3.094,0,1.923,FALSE,822.982,56,FALSE,,4.291,monoclinic
mp-1597,UO2,"{'U': 1.0, 'O': 2.0}",Fm3m,-3.781,0,0,TRUE,318.5,24,FALSE,,11.263,cubic
mp-554714,Np2O5,"{'Np': 2.0, 'O': 5.0}",C2/c,-3.453,0,0,FALSE,448.385,28,TRUE,,8.207,monoclinic
mp-643,ThO2,"{'Th': 1.0, 'O': 2.0}",Fm3m,-4.392,0,4.425,TRUE,44.368,3,FALSE,,9.882,cubic
mp-771359,Cu2O3,"{'Cu': 2.0, 'O': 3.0}",Ia3,-0.847,0,0,TRUE,407.415,40,TRUE,,5.709,cubic
mp-25279,V2O5,"{'V': 2.0, 'O': 5.0}",Pmmn,-2.306,0,2.163,TRUE,191.487,14,FALSE,,3.154,orthorhombic
mp-308,U3O8,"{'U': 3.0, 'O': 8.0}",P62m,-3.725,0,0.009,TRUE,168.53,11,FALSE,,8.297,hexagonal
mp-2672,K2O2,"{'K': 2.0, 'O': 2.0}",Cmce,-1.299,0,2.348,TRUE,158.281,8,FALSE,,2.312,orthorhombic
mp-1182469,Eu2O3,"{'Eu': 2.0, 'O': 3.0}",Ia3,-3.186,0,0,FALSE,661.79,40,FALSE,,7.064,cubic
mp-557057,NbO2,"{'Nb': 1.0, 'O': 2.0}",I41/a,-2.917,0,0.173,TRUE,292.371,24,FALSE,,5.675,tetragonal
mp-1346,B6O,"{'B': 6.0, 'O': 1.0}",R3m,-0.81,0,1.931,TRUE,103.449,14,FALSE,,2.596,trigonal
mp-2364,PaO2,"{'Pa': 1.0, 'O': 2.0}",Fm3m,-4.059,0,0,TRUE,40.639,3,FALSE,,10.748,cubic
mp-555434,As2O5,"{'As': 2.0, 'O': 5.0}",P41212,-1.584,0,1.344,FALSE,361.983,28,FALSE,,4.217,tetragonal
mp-1215,Ti2O,"{'Ti': 2.0, 'O': 1.0}",P3m1,-2.046,0,0,TRUE,37.012,3,FALSE,,5.013,trigonal
mp-19399,Cr2O3,"{'Cr': 2.0, 'O': 3.0}",R3c,-2.349,0,2.434,TRUE,101.676,10,FALSE,,4.965,trigonal
mp-561418,Zr3O,"{'Zr': 3.0, 'O': 1.0}",R32,-1.554,0,0,TRUE,291.562,16,FALSE,,6.599,trigonal
mp-27726,SO2,"{'S': 1.0, 'O': 2.0}",Aea2,-1.762,0,2.844,TRUE,123.037,6,FALSE,,1.729,orthorhombic
mp-1016092,Re2O7,"{'Re': 2.0, 'O': 7.0}",P212121,-2.053,0,2.675,TRUE,1102.344,72,FALSE,,5.838,orthorhombic
mp-2591,Ti3O,"{'Ti': 3.0, 'O': 1.0}",P31c,-1.578,0,0,TRUE,219.032,16,FALSE,,4.84,trigonal
mp-825,RuO2,"{'Ru': 1.0, 'O': 2.0}",P42/mnm,-1.478,0,0,TRUE,64.818,6,FALSE,,6.818,tetragonal
mp-2616,NpO2,"{'Np': 1.0, 'O': 2.0}",Fm3m,-3.612,0,0,TRUE,39.25,3,FALSE,,11.381,cubic
mp-2723,IrO2,"{'Ir': 1.0, 'O': 2.0}",P42/mnm,-1.265,0,0,TRUE,65.884,6,FALSE,,11.302,tetragonal
mp-22633,Pb3O4,"{'Pb': 3.0, 'O': 4.0}",P42/mbc,-1.471,0,1.137,FALSE,556.846,28,FALSE,,8.178,tetragonal
mp-996,OsO2,"{'Os': 1.0, 'O': 2.0}",P42/mnm,-1.367,0,0,TRUE,65.81,6,FALSE,,11.215,tetragonal
mp-1132,CdO,"{'Cd': 1.0, 'O': 1.0}",Fm3m,-1.386,0,0,TRUE,27.367,2,FALSE,,7.791,cubic
mp-22408,CoO,"{'Co': 1.0, 'O': 1.0}",F43m,-1.333,0,0.588,TRUE,48.452,4,FALSE,,5.136,cubic
mp-510536,MoO2,"{'Mo': 1.0, 'O': 2.0}",P42/mnm,-2.142,0,0,TRUE,146.454,12,FALSE,,5.802,tetragonal
mp-12105,RbO2,"{'Rb': 1.0, 'O': 2.0}",I4/mmm,-0.956,0,0,TRUE,62.039,3,FALSE,,3.144,tetragonal
mp-1221446,N2O,"{'N': 2.0, 'O': 1.0}",P213,-0.449,0,6.213,FALSE,216.63,12,TRUE,,1.349,cubic
mp-27358,Se2O5,"{'Se': 2.0, 'O': 5.0}",P21/c,-1.04,0,2.887,TRUE,484.005,28,FALSE,,3.265,monoclinic
mp-1336,PdO,"{'Pd': 1.0, 'O': 1.0}",P42/mmc,-0.803,0,0,TRUE,52.365,4,FALSE,,7.764,tetragonal
mp-673643,Ce17O32,"{'Ce': 17.0, 'O': 32.0}",P1,-3.958,0,0,FALSE,709.113,49,TRUE,,6.777,triclinic
mp-18759,Mn3O4,"{'Mn': 3.0, 'O': 4.0}",I41/amd,-2.067,0,0.698,TRUE,165.455,14,FALSE,,4.593,tetragonal
mp-1901,NaO2,"{'Na': 1.0, 'O': 2.0}",Pnnm,-0.903,0,0,TRUE,83.383,6,FALSE,,2.19,orthorhombic
mp-28933,Br2O3,"{'Br': 2.0, 'O': 3.0}",P21/c,-0.213,0,1.757,TRUE,881.186,40,FALSE,,3.133,monoclinic
mp-510262,Cs3O,"{'Cs': 3.0, 'O': 1.0}",P63/mcm,-0.937,0,0,TRUE,504.775,8,FALSE,,2.729,hexagonal
mp-2097,SnO,"{'Sn': 1.0, 'O': 1.0}",P4/nmm,-1.648,0,0.409,TRUE,75.285,4,FALSE,,5.942,tetragonal
mp-2133,ZnO,"{'Zn': 1.0, 'O': 1.0}",P63mc,-1.801,0,0.732,TRUE,49.719,4,FALSE,,5.438,hexagonal
mp-7896,Cs2O2,"{'Cs': 2.0, 'O': 2.0}",Immm,-1.234,0,1.662,TRUE,110.465,4,FALSE,,4.477,orthorhombic
mp-553921,Pm2O3,"{'Pm': 2.0, 'O': 3.0}",Ia3,-3.858,0,3.767,TRUE,679.159,40,FALSE,,6.611,cubic
mp-7895,Rb2O2,"{'Rb': 2.0, 'O': 2.0}",Immm,-1.218,0,1.76,TRUE,93.175,4,FALSE,,3.617,orthorhombic
mp-1143,Al2O3,"{'Al': 2.0, 'O': 3.0}",R3c,-3.446,0,5.854,TRUE,87.42,10,FALSE,,3.873,trigonal
mp-2629,Ce7O12,"{'Ce': 7.0, 'O': 12.0}",R3,-3.932,0,0,TRUE,298.021,19,FALSE,,6.535,trigonal
mp-812,Ho2O3,"{'Ho': 2.0, 'O': 3.0}",Ia3,-4.056,0,3.95,TRUE,597.294,40,FALSE,,8.404,cubic
mp-978114,Sn5O6,"{'Sn': 5.0, 'O': 6.0}",P21/c,-1.781,0,1.764,TRUE,402.004,22,TRUE,,5.697,monoclinic
mp-1604,Pt3O4,"{'Pt': 3.0, 'O': 4.0}",Pm3n,-0.849,0,0,TRUE,181.868,14,FALSE,,11.856,cubic
mp-23261,I2O5,"{'I': 2.0, 'O': 5.0}",P21/c,-0.776,0,2.666,TRUE,470.006,28,FALSE,,4.717,monoclinic
mp-861975,PaO3,"{'Pa': 1.0, 'O': 3.0}",I4/mmm,-3.117,0,0,TRUE,41.852,4,TRUE,,11.071,tetragonal
mp-554098,Ti6O,"{'Ti': 6.0, 'O': 1.0}",P31c,-0.92,0,0,TRUE,215.105,14,FALSE,,4.681,trigonal
mp-1960,Li2O,"{'Li': 2.0, 'O': 1.0}",Fm3m,-2.074,0,4.917,TRUE,25.196,3,FALSE,,1.969,cubic
mp-1178232,FeO,"{'Fe': 1.0, 'O': 1.0}",C2/m,-1.682,0,1.27,FALSE,42.715,4,TRUE,,5.586,monoclinic
mp-697111,H2O,"{'H': 2.0, 'O': 1.0}",Cmc21,-1.393,0,5.518,TRUE,124.894,12,FALSE,,0.958,orthorhombic
mp-2605,CaO,"{'Ca': 1.0, 'O': 1.0}",Fm3m,-3.325,0,3.645,TRUE,28.332,2,FALSE,,3.287,cubic
mp-551470,Tl2O,"{'Tl': 2.0, 'O': 1.0}",C2/m,-0.826,0,0.516,FALSE,148.361,6,FALSE,,9.508,monoclinic
mp-2652,Y2O3,"{'Y': 2.0, 'O': 3.0}",Ia3,-3.99,0,4.056,TRUE,613.19,40,FALSE,,4.892,cubic
mp-622640,V3O7,"{'V': 3.0, 'O': 7.0}",C2/c,-2.379,0,0.996,TRUE,772.501,60,FALSE,,3.415,monoclinic
mp-1441,CsO2,"{'Cs': 1.0, 'O': 2.0}",I4/mmm,-0.975,0,0,TRUE,73.369,3,FALSE,,3.732,tetragonal
mp-1692,CuO,"{'Cu': 1.0, 'O': 1.0}",P42/mmc,-0.955,0,0,TRUE,44.541,4,FALSE,,5.931,tetragonal
mp-2292,La2O3,"{'La': 2.0, 'O': 3.0}",Ia3,-3.898,0,3.532,TRUE,741.134,40,FALSE,,5.84,cubic
mp-352,HfO2,"{'Hf': 1.0, 'O': 2.0}",P21/c,-4.044,0,4.016,TRUE,140.262,12,FALSE,,9.968,monoclinic
mp-1265,MgO,"{'Mg': 1.0, 'O': 1.0}",Fm3m,-3.069,0,4.445,TRUE,19.279,2,FALSE,,3.471,cubic
mp-218,Sm2O3,"{'Sm': 2.0, 'O': 3.0}",Ia3,-3.883,0,3.782,TRUE,665.418,40,FALSE,,6.962,cubic
mp-22598,In2O3,"{'In': 2.0, 'O': 3.0}",Ia3,-2.018,0,0.933,TRUE,546.34,40,FALSE,,6.751,cubic
mp-1285,PtO2,"{'Pt': 1.0, 'O': 2.0}",Pnnm,-0.945,0,0.604,TRUE,67.038,6,FALSE,,11.25,orthorhombic
mp-30303,Bi4O7,"{'Bi': 4.0, 'O': 7.0}",P1,-1.587,0,0.89,TRUE,353.395,22,FALSE,,8.908,triclinic
mp-733,GeO2,"{'Ge': 1.0, 'O': 2.0}",P3121,-2.099,0,3.251,FALSE,129.145,9,FALSE,,4.036,trigonal
mp-12177,Te2O5,"{'Te': 2.0, 'O': 5.0}",P21,-1.439,0,1.67,TRUE,210.355,14,FALSE,,5.292,monoclinic
mp-22869,ClO3,"{'Cl': 1.0, 'O': 3.0}",Cc,-0.507,0,1.363,TRUE,261.333,16,FALSE,,2.121,monoclinic
mp-1101301,TeO3,"{'Te': 1.0, 'O': 3.0}",C2/m,-1.364,0,2.149,FALSE,247.143,16,TRUE,,4.719,monoclinic
mp-1342,BaO,"{'Ba': 1.0, 'O': 1.0}",Fm3m,-2.838,0,2.091,TRUE,44.255,2,FALSE,,5.753,cubic
mp-20633,PbO2,"{'Pb': 1.0, 'O': 2.0}",Pbcn,-1.318,0,0,TRUE,172.793,12,FALSE,,9.195,orthorhombic
mp-2452,P2O5,"{'P': 2.0, 'O': 5.0}",Fdd2,-2.461,0,5.347,FALSE,187.953,14,FALSE,,2.508,orthorhombic
mp-1097041,IrO3,"{'Ir': 1.0, 'O': 3.0}",Cmcm,-1.001,0,0,FALSE,382.062,32,TRUE,,8.352,orthorhombic
mp-1102963,VO2,"{'V': 1.0, 'O': 2.0}",P21/c,-2.49,0,0.916,FALSE,123.377,12,FALSE,,4.465,monoclinic
mp-1658,Tl2O3,"{'Tl': 2.0, 'O': 3.0}",Ia3,-1.122,0,0,TRUE,624.385,40,FALSE,,9.718,cubic
mp-306,B2O3,"{'B': 2.0, 'O': 3.0}",P3121,-2.816,0,6.306,TRUE,144.608,15,FALSE,,2.398,trigonal
mp-1427,Lu2O3,"{'Lu': 2.0, 'O': 3.0}",Ia3,-4.143,0,4.023,TRUE,556.732,40,FALSE,,9.495,cubic
mp-20066,CO2,"{'C': 1.0, 'O': 2.0}",Pa3,-1.788,0,6.633,TRUE,195.384,12,FALSE,,1.496,cubic
mp-622497,V3O5,"{'V': 3.0, 'O': 5.0}",P2/c,-2.524,0,0.952,TRUE,347.978,32,FALSE,,4.444,monoclinic
mp-1204579,NO3,"{'N': 1.0, 'O': 3.0}",P21/c,-0.677,0,0.895,FALSE,1049.44,64,FALSE,,1.57,monoclinic
mp-540783,OsO4,"{'Os': 1.0, 'O': 4.0}",C2/c,-1.553,0,3.346,FALSE,187.246,10,FALSE,,4.509,monoclinic
mp-773920,Cr5O12,"{'Cr': 5.0, 'O': 12.0}",Pbcn,-1.852,0,1.795,FALSE,1020.375,68,TRUE,,2.942,orthorhombic
mp-656887,Ni3O4,"{'Ni': 3.0, 'O': 4.0}",Cmmm,-0.805,0,0.395,TRUE,71.869,7,TRUE,,5.547,orthorhombic
mp-725,RhO2,"{'Rh': 1.0, 'O': 2.0}",P42/mnm,-1.243,0,0,TRUE,65.058,6,FALSE,,6.887,tetragonal
mp-2789,NO2,"{'N': 1.0, 'O': 2.0}",Im3,-0.829,0,2.813,TRUE,275.788,18,FALSE,,1.662,cubic
mp-1045,Nd2O3,"{'Nd': 2.0, 'O': 3.0}",Ia3,-3.803,0,3.708,TRUE,698.91,40,FALSE,,6.396,cubic
mp-2472,SrO,"{'Sr': 1.0, 'O': 1.0}",Fm3m,-3.097,0,3.287,TRUE,35.277,2,FALSE,,4.878,cubic
mp-2858,ZrO2,"{'Zr': 1.0, 'O': 2.0}",P21/c,-3.838,0,3.474,TRUE,147.11,12,FALSE,,5.564,monoclinic
mp-715572,Fe2O3,"{'Fe': 2.0, 'O': 3.0}",C2,-1.89,0,2.019,FALSE,429.688,40,TRUE,,4.937,monoclinic
mp-542313,Ce2O3,"{'Ce': 2.0, 'O': 3.0}",Ia3,-3.781,0,0,TRUE,684.856,40,FALSE,,6.367,cubic
mp-2340,Na2O2,"{'Na': 2.0, 'O': 2.0}",P62m,-1.303,0,1.755,TRUE,153.906,12,FALSE,,2.524,hexagonal
mp-1065190,AgO,"{'Ag': 1.0, 'O': 1.0}",C2/c,-0.46,0,0,FALSE,60.354,4,FALSE,,6.816,monoclinic
mp-20194,CeO2,"{'Ce': 1.0, 'O': 2.0}",Fm3m,-3.95,0,1.867,TRUE,40.86,3,FALSE,,6.995,cubic
mp-18748,Co3O4,"{'Co': 3.0, 'O': 4.0}",Fd3m,-1.421,0,0,TRUE,134.757,14,FALSE,,5.934,cubic
mp-1213798,Cr6O11,"{'Cr': 6.0, 'O': 11.0}",P1,-2.131,0,0,FALSE,349.639,34,TRUE,,4.635,triclinic
mp-23262,Bi2O3,"{'Bi': 2.0, 'O': 3.0}",P21/c,-1.658,0,2.177,TRUE,342.202,20,FALSE,,9.044,monoclinic
mp-546794,SiO2,"{'Si': 1.0, 'O': 2.0}",I42d,-3.289,0,5.703,FALSE,93.959,6,FALSE,,2.124,tetragonal
mp-1095223,OF2,"{'O': 1.0, 'F': 2.0}",Pnma,-0.484,0,2.041,FALSE,162.806,12,FALSE,,2.203,orthorhombic
mp-1216,YbO,"{'Yb': 1.0, 'O': 1.0}",Fm3m,-3.652,0,3.473,TRUE,26.777,2,FALSE,,11.723,cubic
mp-27485,Tc2O7,"{'Tc': 2.0, 'O': 7.0}",Pbca,-1.823,0,2.666,TRUE,657.362,36,FALSE,,3.112,orthorhombic
mp-2414,SO3,"{'S': 1.0, 'O': 3.0}",Pna21,-1.766,0,5.145,TRUE,808.699,48,FALSE,,1.973,orthorhombic
mp-19342,WO3,"{'W': 1.0, 'O': 3.0}",Pbcn,-2.189,0,1.333,TRUE,460.604,32,TRUE,,6.686,orthorhombic
mp-230,SbO2,"{'Sb': 1.0, 'O': 2.0}",Pna21,-1.859,0,1.887,TRUE,326.254,24,FALSE,,6.261,orthorhombic
mp-1866,KO2,"{'K': 1.0, 'O': 2.0}",I4/mmm,-0.981,0,0,TRUE,106.439,6,FALSE,,2.218,tetragonal
mp-27465,S8O,"{'S': 8.0, 'O': 1.0}",Pca21,-0.789,0,2.424,TRUE,1058.05,36,FALSE,,1.711,orthorhombic
mp-679,Er2O3,"{'Er': 2.0, 'O': 3.0}",Ia3,-4.078,0,3.964,TRUE,587.202,40,FALSE,,8.654,cubic
mp-32613,Ce5O9,"{'Ce': 5.0, 'O': 9.0}",P1,-3.957,0,0,FALSE,420.909,28,TRUE,,6.664,triclinic
mp-565203,Mn2O3,"{'Mn': 2.0, 'O': 3.0}",Pbca,-2.032,0,0.109,FALSE,888.444,80,FALSE,,4.721,orthorhombic
mp-18856,MoO3,"{'Mo': 1.0, 'O': 3.0}",P21/c,-2.029,0,1.372,TRUE,464.281,32,FALSE,,4.118,monoclinic
mp-856,SnO2,"{'Sn': 1.0, 'O': 2.0}",P42/mnm,-2.129,0,0.652,TRUE,75.734,6,FALSE,,6.609,tetragonal
mp-971,K2O,"{'K': 2.0, 'O': 1.0}",Fm3m,-1.259,0,1.711,TRUE,68.269,3,FALSE,,2.291,cubic
mp-29537,Cl2O,"{'Cl': 2.0, 'O': 1.0}",I41/amd,-0.389,0,1.055,TRUE,305.132,12,FALSE,,1.892,tetragonal
mp-557993,BiO2,"{'Bi': 1.0, 'O': 2.0}",C2/c,-1.478,0,1.024,TRUE,178.919,12,FALSE,,8.946,monoclinic
mp-672237,PbO,"{'Pb': 1.0, 'O': 1.0}",Pbcm,-1.491,0,1.539,FALSE,1407.512,64,TRUE,,8.426,orthorhombic
mp-10688,CeO,"{'Ce': 1.0, 'O': 1.0}",Fm3m,-3.246,0,0,TRUE,30.985,2,FALSE,,8.367,cubic
mp-547271,ReO3,"{'Re': 1.0, 'O': 3.0}",P4/mbm,-2.16,0,0,TRUE,109.103,8,FALSE,,7.129,tetragonal
mvc-14149,CoO2,"{'Co': 1.0, 'O': 2.0}",I4/m,-1.142,0,0.513,FALSE,129.643,12,TRUE,,4.659,tetragonal
mvc-4415,Ta2O5,"{'Ta': 2.0, 'O': 5.0}",Pmmn,-3.36,0,2.727,FALSE,199.098,14,TRUE,,7.371,orthorhombic
mp-619461,WO3,"{'W': 1.0, 'O': 3.0}",P21/c,-2.189,0,1.369,TRUE,459.765,32,FALSE,,6.699,monoclinic
mp-223,GeO2,"{'Ge': 1.0, 'O': 2.0}",P3221,-2.098,0,3.25,TRUE,128.914,9,FALSE,,4.044,trigonal
mp-19443,WO3,"{'W': 1.0, 'O': 3.0}",P4/nmm,-2.189,0,1.146,TRUE,115.669,8,FALSE,,6.657,tetragonal
mp-1064456,CuO,"{'Cu': 1.0, 'O': 1.0}",Cccm,-0.954,0,0,FALSE,44.432,4,FALSE,,5.946,orthorhombic
mp-21452,Pb3O4,"{'Pb': 3.0, 'O': 4.0}",Pbam,-1.47,0,1.162,TRUE,551.82,28,FALSE,,8.252,orthorhombic
mp-499,AgO,"{'Ag': 1.0, 'O': 1.0}",Cccm,-0.459,0,0,TRUE,60.624,4,FALSE,,6.786,orthorhombic
mp-27484,Tl2O,"{'Tl': 2.0, 'O': 1.0}",R3m,-0.826,0,0.571,TRUE,149.861,6,FALSE,,9.413,trigonal
mp-1788,As2O5,"{'As': 2.0, 'O': 5.0}",P212121,-1.584,0,1.403,TRUE,361.315,28,FALSE,,4.225,orthorhombic
mp-18773,WO3,"{'W': 1.0, 'O': 3.0}",P4/ncc,-2.189,0,1.332,FALSE,228.59,16,FALSE,,6.737,tetragonal
mp-19770,Fe2O3,"{'Fe': 2.0, 'O': 3.0}",R3c,-1.89,0,1.528,TRUE,105.43,10,FALSE,,5.03,trigonal
mp-14024,Zr3O,"{'Zr': 3.0, 'O': 1.0}",R3c,-1.553,0,0,FALSE,145.934,8,FALSE,,6.592,trigonal
mp-559122,WO3,"{'W': 1.0, 'O': 3.0}",P421m,-2.189,0,1.254,TRUE,231.407,16,FALSE,,6.655,tetragonal
mp-510417,WO3,"{'W': 1.0, 'O': 3.0}",Pbcn,-2.189,0,1.703,TRUE,461.419,32,TRUE,,6.675,orthorhombic
mp-1771,NO2,"{'N': 1.0, 'O': 2.0}",P21/c,-0.829,0,2.703,TRUE,185.006,12,FALSE,,1.652,monoclinic
mp-566278,WO3,"{'W': 1.0, 'O': 3.0}",Pbcm,-2.189,0.001,1.24,FALSE,231.808,16,FALSE,,6.643,orthorhombic
mp-714911,V3O5,"{'V': 3.0, 'O': 5.0}",Cc,-2.523,0.001,0.997,FALSE,348.268,32,TRUE,,4.44,monoclinic
mvc-6611,SnO2,"{'Sn': 1.0, 'O': 2.0}",Imma,-2.129,0.001,0.634,FALSE,151.491,12,TRUE,,6.608,orthorhombic
mp-7812,GeO2,"{'Ge': 1.0, 'O': 2.0}",P41212,-2.098,0.001,3.278,TRUE,188.708,12,FALSE,,3.683,tetragonal
mp-715550,MoO2,"{'Mo': 1.0, 'O': 2.0}",Pnnm,-2.142,0.001,0,FALSE,146.552,12,FALSE,,5.799,orthorhombic
mp-703459,H2O,"{'H': 2.0, 'O': 1.0}",P63cm,-1.392,0.001,5.529,TRUE,357.638,36,FALSE,,1.004,hexagonal
mp-551905,OsO4,"{'Os': 1.0, 'O': 4.0}",C2,-1.553,0.001,3.258,TRUE,96.174,5,FALSE,,4.389,monoclinic
mp-636284,WO3,"{'W': 1.0, 'O': 3.0}",Cmcm,-2.188,0.001,1.324,FALSE,231.901,16,TRUE,,6.64,orthorhombic
mp-545820,SnO,"{'Sn': 1.0, 'O': 1.0}",Cmce,-1.647,0.001,0.535,FALSE,153.188,8,FALSE,,5.841,orthorhombic
mp-776152,V2O5,"{'V': 2.0, 'O': 5.0}",Pnma,-2.305,0.001,1.795,TRUE,400.337,28,TRUE,,3.018,orthorhombic
mp-7826,HgO,"{'Hg': 1.0, 'O': 1.0}",P3121,-0.649,0.001,1.302,TRUE,109.442,6,FALSE,,9.859,trigonal
mp-556859,HgO,"{'Hg': 1.0, 'O': 1.0}",P21/m,-0.649,0.001,1.199,FALSE,289.588,16,FALSE,,9.936,monoclinic
